Word,Log Rank,Log Frequency
could be,2.450249108319361,1.255272505103306
court of,2.45178643552429,1.255272505103306
decided to,2.4533183400470375,1.255272505103306
due to,2.45484486000851,1.255272505103306
for his,2.456366033129043,1.255272505103306
found in,2.4578818967339924,1.255272505103306
i feel,2.459392487759231,1.255272505103306
may be,2.4608978427565478,1.255272505103306
of them,2.462397997898956,1.255272505103306
of two,2.4638929889859074,1.255272505103306
pay for,2.4653828514484184,1.255272505103306
peter smith,2.4668676203541096,1.255272505103306
s mother,2.4683473304121573,1.255272505103306
smith was,2.469822015978163,1.255272505103306
term nursing,2.4712917110589387,1.255272505103306
the corporation,2.4727564493172123,1.255272505103306
the flat,2.4742162640762553,1.255272505103306
the prosecution,2.4756711883244296,1.255272505103306
the three,2.4771212547196626,1.255272505103306
there were,2.4785664955938436,1.255272505103306
they had,2.4800069429571505,1.255272505103306
this year,2.481442628502305,1.255272505103306
three years,2.482873583608754,1.255272505103306
to leave,2.484299839346786,1.255272505103306
under the,2.48572142648158,1.255272505103306
used to,2.4871383754771865,1.255272505103306
which is,2.4885507165004443,1.255272505103306
yesterday after,2.4899584794248346,1.255272505103306
a bit,2.4913616938342726,1.2304489213782739
after he,2.4927603890268375,1.2304489213782739
and in,2.494154594018443,1.2304489213782739
because i,2.4955443375464483,1.2304489213782739
because of,2.496929648073215,1.2304489213782739
body was,2.4983105537896004,1.2304489213782739
court in,2.499687082618404,1.2304489213782739
court was,2.5010592622177517,1.2304489213782739
end of,2.5024271199844326,1.2304489213782739
found guilty,2.503790683057181,1.2304489213782739
harry enfield,2.505149978319906,1.2304489213782739
health authority,2.506505032404872,1.2304489213782739
house in,2.507855871695831,1.2304489213782739
house party,2.509202522331103,1.2304489213782739
i can,2.510545010206612,1.2304489213782739
i d,2.5118833609788744,1.2304489213782739
i don,2.513217600067939,1.2304489213782739
in my,2.514547752660286,1.2304489213782739
in nursing,2.515873843711679,1.2304489213782739
london s,2.5171958979499744,1.2304489213782739
ms casey,2.5185139398778875,1.2304489213782739
noel s,2.519827993775719,1.2304489213782739
not to,2.5211380837040362,1.2304489213782739
paul mccartney,2.5224442335063197,1.2304489213782739
s house,2.5237464668115646,1.2304489213782739
said this,2.525044807036845,1.2304489213782739
she told,2.526339277389844,1.2304489213782739
star wars,2.5276299008713385,1.2304489213782739
the back,2.5289167002776547,1.2304489213782739
the bodies,2.530199698203082,1.2304489213782739
the judgment,2.531478917042255,1.2304489213782739
