Word,Log Rank,Log Frequency
put,2.5118833609788744,1.5440680443502757
term,2.513217600067939,1.5440680443502757
these,2.514547752660286,1.5440680443502757
together,2.515873843711679,1.5440680443502757
weeks,2.5171958979499744,1.5440680443502757
working,2.5185139398778875,1.5440680443502757
assault,2.519827993775719,1.5314789170422551
claimed,2.5211380837040362,1.5314789170422551
decided,2.5224442335063197,1.5314789170422551
described,2.5237464668115646,1.5314789170422551
good,2.525044807036845,1.5314789170422551
lived,2.526339277389844,1.5314789170422551
local,2.5276299008713385,1.5314789170422551
son,2.5289167002776547,1.5314789170422551
spice,2.530199698203082,1.5314789170422551
want,2.531478917042255,1.5314789170422551
your,2.5327543789924976,1.5314789170422551
arrived,2.534026106056135,1.5185139398778875
boys,2.5352941200427703,1.5185139398778875
came,2.53655844257153,1.5185139398778875
company,2.537819095073274,1.5185139398778875
front,2.5390760987927767,1.5185139398778875
help,2.5403294747908736,1.5185139398778875
husband,2.5415792439465807,1.5185139398778875
john,2.5428254269591797,1.5185139398778875
murders,2.5440680443502757,1.5185139398778875
played,2.545307116465824,1.5185139398778875
something,2.546542663478131,1.5185139398778875
took,2.5477747053878224,1.5185139398778875
brother,2.5490032620257876,1.505149978319906
charged,2.550228353055094,1.505149978319906
earlier,2.5514499979728753,1.505149978319906
having,2.552668216112193,1.505149978319906
hearing,2.5538830266438746,1.505149978319906
liverpool,2.5550944485783194,1.505149978319906
might,2.5563025007672873,1.505149978319906
party,2.5575072019056577,1.505149978319906
programme,2.558708570533166,1.505149978319906
top,2.5599066250361124,1.505149978319906
until,2.561101383649056,1.505149978319906
without,2.5622928644564746,1.505149978319906
am,2.5634810853944106,1.4913616938342726
axe,2.5646660642520893,1.4913616938342726
cleared,2.5658478186735176,1.4913616938342726
denied,2.56702636615906,1.4913616938342726
evidence,2.568201724066995,1.4913616938342726
himself,2.569373909615046,1.4913616938342726
led,2.5705429398818973,1.4913616938342726
our,2.571708831808688,1.4913616938342726
roll,2.5728716022004803,1.4913616938342726
same,2.574031267727719,1.4913616938342726
sexual,2.575187844927661,1.4913616938342726
television,2.576341350205793,1.4913616938342726
tickets,2.5774917998372255,1.4913616938342726
actor,2.578639209968072,1.4771212547196624
anais,2.57978359661681,1.4771212547196624
appeal,2.5809249756756194,1.4771212547196624
arthurs,2.582063362911709,1.4771212547196624
attack,2.583198773968623,1.4771212547196624
began,2.584331224367531,1.4771212547196624
believe,2.5854607295085006,1.4771212547196624
business,2.586587304671755,1.4771212547196624
does,2.5877109650189114,1.4771212547196624
gillian,2.5888317255942073,1.4771212547196624
harry,2.5899496013257077,1.4771212547196624
movie,2.591064607026499,1.4771212547196624
must,2.5921767573958667,1.4771212547196624
name,2.593286067020457,1.4771212547196624
nothing,2.5943925503754266,1.4771212547196624
once,2.595496221825574,1.4771212547196624
seen,2.59659709562646,1.4771212547196624
walker,2.597695185925512,1.4771212547196624
west,2.598790506763115,1.4771212547196624
amanda,2.5998830720736876,1.462397997898956
blood,2.6009728956867484,1.462397997898956
bond,2.6020599913279625,1.462397997898956
charges,2.603144372620182,1.462397997898956
comedy,2.60422605308447,1.462397997898956
connie,2.6053050461411096,1.462397997898956
films,2.606381365110605,1.462397997898956
history,2.6074550232146687,1.462397997898956
judgment,2.6085260335771943,1.462397997898956
law,2.60959440922522,1.462397997898956
magistrates,2.61066016308988,1.462397997898956
move,2.611723308007342,1.462397997898956
re,2.6127838567197355,1.462397997898956
sarah,2.6138418218760693,1.462397997898956
says,2.6148972160331345,1.462397997898956
second,2.615950051656401,1.462397997898956
stage,2.617000341120899,1.462397997898956
adams,2.6180480967120925,1.4471580313422192
became,2.6190933306267428,1.4471580313422192
black,2.6201360549737576,1.4471580313422192
coronation,2.621176281775035,1.4471580313422192
force,2.622214022966295,1.4471580313422192
let,2.6232492903979003,1.4471580313422192
mum,2.6242820958356683,1.4471580313422192
premiere,2.625312450961674,1.4471580313422192
qc,2.6263403673750423,1.4471580313422192
royal,2.6273658565927325,1.4471580313422192
tied,2.6283889300503116,1.4471580313422192
verdict,2.629409599102719,1.4471580313422192
airlines,2.630427875025024,1.4313637641589874
city,2.6314437690131722,1.4313637641589874
every,2.6324572921847245,1.4313637641589874
few,2.6334684555795866,1.4313637641589874
french,2.6344772701607315,1.4313637641589874
lives,2.635483746814912,1.4313637641589874
need,2.6364878963533656,1.4313637641589874
outside,2.637489729512511,1.4313637641589874
place,2.6384892569546374,1.4313637641589874
surrey,2.639486489268586,1.4313637641589874
whose,2.640481436970422,1.4313637641589874
august,2.6414741105040997,1.414973347970818
bodies,2.6424645202421213,1.414973347970818
car,2.6434526764861874,1.414973347970818
coughlan,2.6444385894678386,1.414973347970818
done,2.645422269349092,1.414973347970818
double,2.6464037262230695,1.414973347970818
drama,2.6473829701146196,1.414973347970818
each,2.6483600109809315,1.414973347970818
european,2.649334858712142,1.414973347970818
faces,2.6503075231319366,1.414973347970818
fantastic,2.651278013998144,1.414973347970818
guitarist,2.6522463410033232,1.414973347970818
janice,2.6532125137753435,1.414973347970818
jonathan,2.6541765418779604,1.414973347970818
looking,2.655138434811382,1.414973347970818
named,2.656098202012832,1.414973347970818
patient,2.6570558528571038,1.414973347970818
play,2.6580113966571126,1.414973347970818
taking,2.658964842664435,1.414973347970818
age,2.6599162000698504,1.3979400086720377
bus,2.660865478003869,1.3979400086720377
door,2.661812685537261,1.3979400086720377
extremely,2.662757831681574,1.3979400086720377
gave,2.663700925389648,1.3979400086720377
general,2.6646419755561257,1.3979400086720377
